,prompt
97,"It's snowing heavily in the sky, and a thick layer of snow quickly covers the stone table in the yard. The camera switches to inside the house, where adults are wrapping dumplings, each with a happy smile. The entire video presents a joyful atmosphere."
98,"Under the dim streetlights, fallen leaves flutter. A man walks alone on the street. He is dressed as a clown and holds a balloon in his hand. The entire video presents a melancholic atmosphere."
99,"On a sunny afternoon, the clouds in the sky were as soft as cotton candy, drifting slowly. An elderly man with white hair rode a motorcycle through the country road. He wore a helmet and had a contented smile on his face, enjoying the caress of the wind and the warmth of the sunshine. The entire video is in a sci-fi art style with 4K ultra-high-definition quality."
100,"At the party, colorful lights flickered, tables were laden with cakes and desserts, and people held drinks in their hands, dancing to the rhythm."
101,"A slow-motion shot of coffee splashing, with the coffee forming an arc as it rises, and the word ""Energy"" appearing in bold letters, entirely made up of coffee."
102,"In the fish tank, there are three small goldfish swimming, and a piece of seaweed is gently swaying."
103,"The little boy carefully placed the pen on the document on the office desk. To the right of the document was a red telephone, and next to the telephone, the curtain swayed with the wind."
104,"On an open grassland, a man is intently controlling a drone in his hands. The man is wearing a simple T-shirt and jeans, with a baseball cap on his head. He is skillfully pressing the buttons on the remote control. Under his manipulation, the drone is circling in the air at times and rising at other times."
105,"On the grass, a picnic blanket is spread with bananas and apples. A rabbit hops onto the blanket and starts nibbling on an apple. The camera zooms out, revealing a 2K high-definition scene."
106,"In the deep and mysterious sea, an ancient shipwreck lies quietly there, its hull eroded by seawater and mottled. Inside the cabin, several crabs shuttle back and forth."
107,"On the autumn lake, the fiery red maple trees are reflected, their leaves gently swaying in the wind. Occasionally, a few maple leaves fall, floating softly on the water's surface. A small boat is drifting on the lake. The video is in anime style."
108,"In the park, a lame golden retriever is leisurely strolling. Its right front leg is wrapped with bandages, and each step seems particularly careful, but it still maintains an optimistic attitude, wagging its tail. Behind it, a little boy is sitting in a wheelchair, skillfully turning the wheels with his hands."
109,"On the beach, the waves gently lap against the shore. Some people are sunbathing, surfers are sliding on the waves, and children are building sandcastles. The entire video presents a joyful atmosphere."
110,"In a lab filled with a sense of technology, an advanced robot is busily working. Its body is flexible and its movements are precise, showing amazing technical strength. At the same time, a man stands by, watching the robot's operation with focused attention. He is dressed in a white coat and holds a notebook in his hand, occasionally recording the robot's operating data."
111,"Shot using an over-the-shoulder angle, a boy explores a dark cave, guided by the light from his flashlight. As the boy progresses deeper, the light at the end of the cave intensifies. The camera then cuts to reveal a magnificent waterfall and a verdant valley."
112,"At dawn by the seaside, gentle waves lap at the shore while seagulls circle above. Fishermen bustle about the pier, prepping their boats for a day at sea. In the distance, a lighthouse stands out prominently against the morning light, casting a golden sheen across the water, in the 80s vaporwave style."
113,"In the cold Arctic, the night sky is filled with dazzling auroras that dance like a dreamy scroll, their colorful lights twinkling in the darkness. The camera switches to a cozy cabin, where a man is sitting by the fireplace, smoking a pipe."
114,"At the hotel reception, there is a computer playing a movie. To the left of the computer is a printer, and to the right is a candy box filled with various colored candies. The camera pans from left to right."
115,"Lotus flowers bloom in the pond. By the pond, a calligrapher is wielding his brush, with ink, paper, and inkstone neatly arranged."
116,"A dancer with orange hair, sitting on a blue mushroom with a pink wand in her hand and green fireflies flying around her, 3D cartoon."
117,"A woman is lying on the sofa watching TV, enjoying the twists and turns of the plot while leisurely eating potato chips. A monkey sneaks in quietly and tiptoes past behind the sofa."
118,"The butterfly lands on the railing, and the camera pans to the right to capture the tulip field next to it. The entire video is presented in anime style"
119,"On the Shonan coast of Kanagawa Prefecture, the tide rises and falls, and a few seabirds stay on the shore."
120,"A shark preys on an octopus at the bottom of the sea, with the octopus fleeing. Slow motion shot."
121,A green garbage truck is parked by the roadside. Several sanitation workers are cleaning the road behind the garbage truck.
122,"A female art teacher is drawing in the classroom, with a box of colored pencils on the desk, in an animation style."
123,"In the winter ski resort, as large snowflakes descend from the sky, skis are neatly arrayed outside the equipment rental shop. Two tourists are meticulously selecting their skis."
124,"In the forest, the trees are lush, the creek is gurgling, and the deer, rabbits, zebras, and foxes are running and playing freely."
125,"There are five people in the conference room having a meeting, and one of them is speaking in front of the conference table."
126,Two girls are sitting on a park bench crying. The entire scene creates a sad atmosphere.
127,A worried man was pacing back and forth in front of the hospital room door.
128,Two chubby little boys are playing with a ball.
129,A little girl with braided pigtails is enjoying an ice cream.
130,"A tracking shot follows an African skateboarder weaving through the city park, capturing his smooth movements and the crowd he passes by."
131,Two elderly men in their 70s are playing chess in the park. The video is presented in black and white style.
132,"A thin and small man hides under the bed, closing his eyes, in the style of Alfred Hitchcock."
133,"A little girl, adorned with a red hairpin in her hair, smiles broadly, her happiness evident."
134,A middle-aged couple is riding a tandem bicycle in the park. The video is in standard definition.
135,"A man in a black suit looks into the distance and cries silently, his eyes filled with confusion. The entire scene presents a sorrowful atmosphere."
136,A group of twenty-something youths are participating in a running race. The entire video creates a joyful atmosphere.
137,"A group of 6-7 year old children holding tickets, walking towards the Ferris wheel. In anime style."
138,"A little boy, with a white backpack, hopped along the road."
139,"The landlord with dark skin, sporting a bouffant hairstyle, is hanging laundry on the balcony. A low angle shot."
140,"In the pet hospital, a male doctor is treating the wound on the cat's paw, graphic novel style."
141,"In the nighttime park, two young girls sit on a bench, chatting. The scene then shifts to a bustling night market, where a BBQ stall owner is busily flipping skewers, in 4K HD."
142,"A man in a suit slowly ties his tie,present in the style of the movie ""The Godfather""."
143,"A man stands on a bustling street making a phone call, dressed in a gray suit, holding a briefcase, pacing as he speaks on the phone. To his left stands a luxury car. Captured in a full shot."
144,"There are three children on the beach building sandcastles with sand, all wearing blue school uniforms. The video is shot from a low-angle perspective."
145,A white man is running on the beach.
146,"A woman dressed in a red gown is playing the piano, enveloped by candlelight and flowers. The video exudes a romantic ambiance."
147,"A man wearing headphones is listening to music, shaking his head. Medium close-up shot, neutral tones for the picture."
148,An African person places a basket of bananas on her head.
149,An elderly grandmother with white hair and a slightly hunched back walks slowly on the street.
150,The camera captures five women sitting around a dining table sharing dinner. The warm candlelight illuminates their smiling faces.
151,"In the kitchen, a young man dressed in a white chef's coat and hat is whisking eggs in a glass bowl, painted in a watercolor paint style."
152,A lady with long curly hair is sadly wiping the tears from the corners of her eyes with a handkerchief in her hand.
153,"A hunter is aiming at a nearby elk, in a realistic style."
154,"The keeper is feeding two sea lions on the shore, busily walking back and forth."
155,"On the lake, two people leisurely row a small boat.The entire scene exudes a romantic atmosphere."
156,The little boy rode his bicycle down the road.
157,"A gray-haired old man washes clothes by the river, pixel art style."
158,"The short-haired little girl sat on the bench, slowly lifting her head to watch the sunset."
159,"Under the afternoon sun, an elderly man wearing a straw hat strolled leisurely along the edge of the golden wheat field, in animation style."
160,"Tears streamed down the girl's cheeks, leaving trails. The video presents a sorrowful atmosphere."
161,"A man is walking towards an ancient building, seen from a 45-degree high angle shot,blue tint for the picture"
162,"A worker on a factory assembly line is skillfully labeling goods as they pass by. The camera switches to the factory office, where the boss stands with one hand on his hip and the other pointing in front of another worker, seemingly scolding them. The entire video presents a serious atmosphere."
163,Create a pixel art video of a man running on a park trail in a blue tracksuit and black running shoes.
164,"In the tea plantation, farmers are busy picking tea leaves. The camera horizontally moving from right to left."
165,A female student in a gray coat slowly stands up in the rain. The entire video presents a melancholic atmosphere.
166,"An 8-year-old little girl is brushing her teeth, suddenly getting toothpaste on the mirror."
167,"A man exposes his arm, showing off the muscle lines on his arm, close-up."
168,"An explorer walks alone on a mountain path, captured in a long shot."
169,A man crying with his face in his hands by the roadside.
170,"Inside the library, a short-haired girl is searching for books on the shelf in front of her."
171,"Under the dense big tree, two grandfathers over 60 years old are playing chess, with the camera tilting downward."
172,"In a warm cabin, the warm light of winter fills the entire room,
A kind old woman is knitting a blanket by the fireplace while a small child curls up beside her with a book. The camera captures the intimate, peaceful atmosphere, focusing on the gentle expressions of both characters. The animation includes subtle, soft movements. The flames flicker and the blanket rustles slightly, evoking a feeling of comfort and warmth."
173,"In the study, a man is typing on his keyboard, deeply focused on his work. The scene shifts to the bedroom, where under the warm yellow light, his wife is sitting by the bed, reading a storybook and gently patting their child's chest, lulling the child to sleep. The atmosphere is cozy and heartwarming."
174,"In the park, a little girl in a pink dress is on the swing, in a full shot."
175,A sanitation worker trims the flowers along the edge of the flower bed with scissors.
176,"A woman in a dress lost her balance and fell on the steps, with the camera tilting down."
177,"On the park grassland, several Asians are chatting together in the campground."
178,"A Frenchman in a black suit, with spectacles and a hat on his head, holding a cane in his right hand and picking up a pocket watch in his left to check the time. Medium long shot."
179,"Amidst the vast expanse of the grassland, a man in Martin boots strides forward. In one hand, he holds a whip, while the other leads a magnificent white horse. The scene is shown in a full shot."
180,"Under the banyan tree, there sits a couple in their 80s, chatting."
181,"The camera follows the back of a woman with long hair as she runs, capturing the strands as they whip and flow dynamically in the wind."
182,"In front of the mountaintop temple, a monk in his robes bows in prayer, with the camera shooting from a low angle upwards."
183,"In the corner of the library, a man is flipping through a newspaper, while a woman next to him is working on a laptop. The entire video is presented in a sticker style."
184,"Workers are building a house on a construction site, and time-lapse footage records the process of the house being built from the beginning to its completion."
185,"In the bustling square at night, a woman around 60 years old is happily dancing the square dance. The entire scene creates a joyful atmosphere."
186,"In the library, several students are whispering to each other."
187,A girl is making crafts with leaves in a craft store. The video is presented in 3D animation style.
188,"Two people on the bridge are looking down at the fish in the water, one of them is pointing into the water, introducing to the other person."
189,The little girl pouted angrily.
190,Two hikers make their way through the muddy terrain of a tropical rainforest.
191,"In the early morning bamboo forest, three people leisurely stroll along a path strewn with fallen leaves, captured in a full shot."
192,"The soccer player sits alone on the ground, slowly wrapping his arms around his knees, with a desolate expression. The entire video presents a sorrowful atmosphere."
193,A slim Asian woman is taking off from the springboard.
194,"A young woman with an oval face is making dumplings, in a medium close-up shot."
195,"On the rooftop, there's an open-air basketball court where six boys are playing basketball."
196,"In an opulently decorated fine dining restaurant, Audrey Hepburn is seated at a table, elegantly dressed in a simple yet refined white gown. Exquisite tableware, each piece exuding a gentle sheen, is laid out in front of her. Hepburn moves with grace and poise as she savors the delicacies on her plate. To her left, a formally dressed waiter is slightly bent over, politely inquiring if she requires any additional service."
197,"An Indian person sits at the dining table, raising his left hand to reach for the plate."
198,The waitress is cleaning the table.The video is in an anime style
199,"It started to rain heavily in the desert, and three travelers took shelter under rocks to avoid the rain."
200,"A few children, around six or seven years old, were playing and laughing under the tree."
201,The brown-haired woman's face turned red with anger as she clenched her fists.
202,A centenarian looks at the silent night sky and murmurs to himself. The entire video presents a sad atmosphere.
203,"A 2-year-old little girl stands in front of a pink mushroom-shaped house, holding a lollipop in her left hand, eating it with relish. Her right hand is holding a small dog, in 3D cartoon style."
204,"The strong man clenched his fists tightly, his knuckles turning white from the effort, in a close-up shot."
205,"In the corner of the café, a couple in their 70s are chatting while sipping hot coffee, presented in a realistic style."
206,A man with yellow skin is putting on glasses.
207,"A side-tracking shot follows an elderly woman with a kind face, wearing a worn, cozy shawl and a straw hat, as she gently walks through a bustling, vibrant market. She carries a basket filled with freshly baked bread, the warm steam wafting up into the crisp morning air. Stalls filled with colorful fruits, vegetables, and handmade trinkets line the path, and cheerful market-goers, including children and shopkeepers, greet her with smiles. The camera captures the detailed textures of cobblestone streets and fluttering market banners, evoking a sense of nostalgia, warmth, and a lively, enchanting atmosphere."
208,A girl in a red dress is swinging in the park.  Long shot.
209,"In a large classroom, a teacher is imparting knowledge to the students, high angle shot."
210,"At the entrance of the village at night, five farmers are warming themselves by the fire."
211,An elderly man in his 60s is singing and playing the guitar in the square. The entire video presents a melancholic style.
212,A little girl is holding a balloon and running slowly forward.
213,"A couple snuggle up next to each other sitting by the fireplace, the warm glow of the flames reflecting on their faces. The entire scene exudes a romantic atmosphere."
214,"An elderly person with graying hair stands by the sea, slowly raising his head to gaze at the boundless ocean. The entire video presents a melancholic atmosphere."
215,"In the garden early in the morning, two elderly people are practicing Tai Chi. Eye level shot."
216,"A girl stands beside a car with a broken door, crying. The entire video presents a sad atmosphere."
217,Four pedestrians are hurrying along under the streetlights at night.
218,"On the street side, three people are chatting. Shot in medium shot."
219,A black man won a gold medal and danced with joy.The video presents a cheerful atmosphere.
220,"In the rain, a couple stands facing each other under a streetlight. The man reaches out to hold the woman's hand, but she pulls it away. The entire scene creates a sad atmosphere."
221,A young writer side-on to the camera picks up a fountain pen and signs his name on the cover of a book handed by a fan.
222,"In the aquarium, two girls jump up happily, long shot."
223,"In the train station waiting room, there are passengers waiting for their trains and ticket inspectors checking tickets, with people coming and going. The camera switches to a carriage where a girl is quietly reading a book with headphones on."
224,"In front of the aquarium exhibition tank, a group of children around 10 years old are watching the fish in the tank."
225,"A woman in a white dress is walking up the stairs, with the camera shooting from a low angle. The image is in 4K resolution."
226,A Latino man with brown skin is throwing punches in the boxing ring.
227,A little boy is doing his homework.
228,"On the ancient city tower, a woman in red slowly unfolds her oil-paper umbrella, then looks towards the distance. The entire scene presents a calm atmosphere."
229,"In front of the milk tea shop, there are three boys wearing sportswear, one of whom is spinning a basketball on his finger. The video is in black and white."
230,Two kids are clapping their hands.
231,A Russian white-collar worker is drinking coffee leisurely
232,A couple is watching the aurora. They occasionally look up to admire the aurora and frequently exchange glances. The video presents a romantic atmosphere.
233,"At dusk, an elderly couple holding hands stroll along the beach, with the waves gently lapping at the shore and the afterglow of the setting sun shining on them. The entire scene creates a tranquil atmosphere."
234,"In the park, two elderly gentlemen are engaged in a game of chess, with a crowd of onlookers animatedly discussing the moves. The video is in 3D cartoon style."
235,"In the laboratory, Thomas Edison is using a pen to record his experimental data."
236,"Beads of sweat slowly rolled down the boy's forehead, close-up shot."
237,"On the street, pedestrians hurried by, and a boy drenched by rain hid under the eaves, wiping away tears. The entire scene created a melancholic atmosphere."
238,A young mother carefully lifts the baby bottle to feed the infant.
239,"Under the ancient tree of the temple, three worshippers are devoutly kneeling to pray for blessings."
240,"A curly-haired black woman is clearing the bar in a high jump competition,high saturation for the picture."
241,"An 8-year-old girl playing in a water park, in 3D cartoon style."
242,"In the classroom, the male teacher, holding a piece of chalk, writes math problems on the blackboard while the students attentively watch from their desks."
243,"A Chinese man wearing glasses sits on a bench reading a newspaper. He occasionally flips through the pages, pausing at times to read intently."
244,"On a frigid winter night, a homeless person is huddled in a street corner, trembling from the cold. His clothing is worn and insufficient. The camera is positioned at the knee level of a passerby, shooting horizontally."
245,"An Indian male hands a drink to a girl sitting next to him, green tint overlay for the video."
246,"In the classroom, the teacher points at a student, and the student stands up."
247,The bald man angrily smashed a glass.
248,"Outside the office building, there is a ground parking lot with several black cars parked. A bus slowly drives into the parking lot."
249,"Tall chimneys billowing thick smoke, in a low angle shot."
250,"In the movie theater, the big screen is playing a suspenseful film. The camera shoots from behind the audience, slowly moving forward along the aisle."
251,"In the ancient courtyard, there is a huge rockery stone. The camera tilts downward."
252,"In the shopping mall, with people coming and going, there are various kinds of shops, captured with a wide shot."
253,"In the park, the sun is shining brightly, the green trees provide a cool shade, flowers are blooming, and children are chasing colorful balloons. The entire video presents a joyful atmosphere."
254,"A girl is searching for books in an ancient library. After she gently pushes aside a row of bookshelves, the scene switches to a well-lit laboratory filled with modern technological ambiance, where instruments are flashing. The video is in ultra-high-definition quality."
255,"The white marble facade of Milan Cathedral shines brilliantly in the sunlight, with its slender spires and flying buttresses stretching towards the sky. Visitors stop here, gazing up at the exquisite carvings and sculptures."
256,Three paintings hang on the blue wall. The camera horizontally moving from left to right during shooting.
257,The worn waterwheel turns slowly by the riverbank.
258,"On the green grass, the white-walled Leaning Tower of Pisa stands tall. The camera moves vertically from top to bottom during filming."
259,The morning market in the small town is bustling with crowds and shrouded in mist.
260,"In the factory, there are two forklifts, one large and one small, and many wooden boxes. The camera pans to the right."
261,"Shot from a first-person perspective, the camera passes through the terracotta warrior pits, where rows of pottery figurines stand quietly in formation."
262,"The industrial park under construction is bustling with construction vehicles operating intensively, and workers are installing equipment."
263,"Filmed from a first-person perspective, the camera passes through the graffiti alley in Melbourne, Australia, where the graffiti walls are covered with artwork from many artists."
264,"Aerial shot of a busy medieval market, then cuts to a modern cityscape of towering skyscrapers and neon lights."
265,"In a dilapidated house, dust and cobwebs are scattered across the floor, and the door is suddenly blown open by the wind. The entire video presents a suspenseful atmosphere."
266,"In the early morning park, the sky is tinged with light blue and purple, with the first light of dawn appearing. On the park paths, people who have risen early are already walking, and the flowers in the flower beds bloom with dew."
267,"The ancient Roman Colosseum, with the camera panning from left to right."
268,"In the quiet library, books of various categories are neatly arranged on the shelves, and several readers are sitting or standing, attentively flipping through the pages in their hands, immersed in the ocean of knowledge."
269,A magnificent bridge with a constant stream of traffic spans over a river flowing ceaselessly below. The camera moves horizontally from left to right.
270,"On the ancient city walls, ancient cannons are placed, and visitors pick up cameras to take photos while walking.The entire video is in black and white style."
271,"The chimney of the power plant is slowly emitting black smoke, which has dyed the sky gray. Shot with a wide-angle lens."
272,"A golden wheat field, with wheat swaying gently in the breeze, next to which there is a dilapidated wooden cabin."
273,"Inside the lecture hall, a bottle of mineral water is placed on each seat for the convenience of the audience to use at any time. Various documents and materials are neatly stacked on the podium, waiting for the lecturer to consult and display at any time. The camera pans from left to right."
274,"The dome of Hagia Sophia stands solemnly under the blue sky, with its four minarets positioned at the corners of the building. The camera shoots from a top-down view and continuously zooms out."
275,"The Golden Gate Bridge glows with a warm halo in the sunset's afterglow, standing majestically against the sea breeze with ships slowly passing beneath.The camera moves vertically from top to bottom during filming."
276,"The Vatican's St. Peter's Basilica under the blue sky, with birds flying over the roof, and the camera moving vertically upward."
277,"Steam rises from the hot dogs sizzling on the grill at a New York street vendor's cart, with condiment bottles neatly lined up."
278,"Under the cherry blossom trees in Kyoto, there are two stone lions and two wooden stools. A gust of wind blew, and the cherry blossom petals fell one after another."
279,"The Sagrada Família stands in the heart of Barcelona, resembling a mysterious megalithic structure. As evening sunlight spills over its intricate facade, the eighteen spires seem like fingers pointing to the heavens, shimmering with golden light. The camera tilts upwards."
280,"Beside the makeup bag lie a white cotton pad, an eyebrow pencil, and a pink lipstick, as the camera horizontally moving to right."
281,"The plate is placed on the dining table, with a spoon next to it. The camera pans to the right, and a chair is positioned on the right side of the dining table."
282,"An old, rundown factory with piles of industrial waste at the entrance, zoom in on the lens."
283,The towering Leshan Giant Buddha statue. A full shot with the camera tilting upwards.
284,"As night falls, on Michigan Avenue in Chicago, the towering buildings are decorated with colorful neon lights on their exterior walls, forming a brilliant ocean of light that contrasts sharply with the dark night sky."
285,"In the abandoned factory, a cold wind blows through, lifting discarded papers on the ground. The entire video creates a suspenseful atmosphere."
286,The ancient Acropolis of Athens looks even more majestic under the glow of the setting sun.The camera pans from left to right.
287,"On a country path lined with small trees, two elderly people are taking a stroll down in the middle. The video is in standard definition."
288,"In the center of the room, there is a bed, above which hangs a ceiling fan that is rotating."
289,"In the rural wheat fields, farmers are harvesting wheat. Aerial shot."
290,"Skyscrapers tower along Michigan Avenue in Chicago, with pedestrians weaving through the streets."
291,"As night falls, the lights on the Eiffel Tower begin to twinkle."
292,"In the dawn, wisps of smoke drifted from the roof of the farmhouse.The video is in black and white style."
293,"Under the old locust tree in the countryside, there is a stone table and three wooden chairs. The video is taken with a blurred background to highlight the table and chairs. The camera pans from left to right."
